,Rates collection,Percentage of accumulated deficit from income,Average per capita expenditure in NIS,Education,Welfare,Total income from the government,Total expenses,Total income,Surplus or deficit per year,Development Work,immigration_balance,Socioeconomic cluster from 1 to 10 lowest 1,Percentage of eligible for a Bagrut,Gini Index of Inequality Index 0 Full Equality,Compactness Cluster from 1 to 10 1 highest
353,217738.0,0.00828066710652623,6028.607663248786,309983.0,118117.0,279915.0,1117101.0,1126117.0,2211.0,81415.0,-74.0,5,70.4,0.4058,5
354,439497.0,0.007219510599631631,10877.097722263043,404940.0,248993.0,747684.0,2960746.0,2935102.0,8881.0,684752.0,-662.0,7,69.4,0.4838,9
355,44497.0,0.5409089243173905,7384.556354916067,58756.0,47112.0,83320.0,307936.0,272850.0,-31012.0,21468.0,-394.0,4,46.2,0.4011,6
356,17083.0,0.13946857,4480.02863,17083.0,15967.0,79855.0,158365.0,157198.0,275.0,14143.0,23.0,3,53.9,0.3478,5
357,13150.0,0.40358708739407984,3726.8200836820088,15679.0,13684.0,43731.0,89071.0,88038.0,165.0,13426.0,-3.0,3,51.2,0.3592,5
358,11676.0,0.045343267131562774,9907.956989247312,19897.0,35009.0,60583.0,184288.0,188716.0,-3435.0,13874.0,-38.0,4,65.1,0.3932,5
359,19244.0,0.13848026369428235,5747.864406779661,62272.0,21673.0,103585.0,169562.0,171714.0,-153.0,14359.0,28.0,3,64.1,0.3437,4
360,39526.0,0.07355820076055894,7855.058479532163,74338.0,26972.0,69224.0,268643.0,266646.0,-700.0,44881.0,281.0,5,73.6,0.452,4
361,46052.0,0.018365246427267078,7221.792114695341,33913.0,14169.0,28503.0,201488.0,210833.0,911.0,30864.0,-72.0,7,77.0,0.4567,3
362,17141.0,0.06275280559710754,8001.133004926108,41464.0,13053.0,44730.0,162423.0,149077.0,-65.0,36877.0,346.0,6,66.1,0.4163,7
363,817755.0,0.05076466676406628,6368.53796148657,1068382.0,561229.0,1290090.0,5192269.0,5222471.0,8451.0,1093205.0,-8743.0,4,32.1,0.4424,10
364,35974.0,0.004407954507217605,6247.4,40091.0,12582.0,46406.0,124948.0,118876.0,-449.0,23144.0,80.0,7,69.2,0.4197243496736077,3
365,144545.0,0.020766487759152796,9078.576233183856,210871.0,63980.0,153960.0,809809.0,817182.0,2713.0,177800.0,1487.0,8,75.0,0.4608,5
366,7170.0,0.21629461579758585,5561.516587677725,44485.0,9480.0,64450.0,117348.0,115486.0,-3485.0,11639.0,-10.0,3,50.1,0.337,4
367,50201.0,0.043498969271643435,5970.489977728285,61432.0,34111.0,61759.0,268075.0,268742.0,613.0,24549.0,-624.0,5,59.0,0.41,7
368,47982.0,0.007481335777191649,5786.385372714487,78065.0,67792.0,159878.0,411412.0,447380.0,20125.0,65783.0,-753.0,4,44.3,0.3597,4
369,16491.0,0.054867192762967955,6938.729508196721,34521.0,26582.0,57071.0,169305.0,166256.0,-416.0,17644.0,-220.0,5,52.6,0.3817,4
